nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"ESCALADA, AV. E/  FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y ROCA, CNEL., AV.",VILLA SOLDATI,8.0,2519.792,9900.0,,,,,
,CANTERO CENTRAL,"ESCALADA, AV. E/  FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y ROCA, CNEL., AV.",VILLA SOLDATI,8.0,2262.61,100.0,,,,,
,CANTERO CENTRAL,"ESCALADA, AV. E/  FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y ROCA, CNEL., AV.",VILLA SOLDATI,8.0,772.929,9970.0,,,,,
,PLAZOLETA,"ARGENTINA, AV. - ZELARRAYAN",VILLA LUGANO,8.0,291.06,0.0,,,,,
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV.- E/ MURGIONDO Y ARGENTINA, AV.",VILLA LUGANO,8.0,814.439,9960.0,,,,,
,CANTERO CENTRAL,"ESCALADA, AV.  E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y  BATLLE ORDOÑEZ, JOSE P.T.",VILLA LUGANO,8.0,3388.718,9800.0,,,,,
,CANTERO CENTRAL,"ESCALADA, AV.  E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y  BATLLE ORDOÑEZ, JOSE P.T.",VILLA LUGANO,8.0,6845.04,0.0,,,,,
,CANTERO CENTRAL,"SAN JUAN BAUTISTA DE LA SALLE,  E/ ESCALADA, AV. Y REMEDIOS",MATADEROS,9.0,232.942,10.0,,,,,
,PLAZOLETA,"OLIVERA, AV. - MONTE - HOMERO",PARQUE AVELLANEDA,9.0,72.21600000000002,9994.0,,,,,
,PLAZOLETA,"OLIVERA, AV. - MONTE - HOMERO",PARQUE AVELLANEDA,9.0,73.624,9995.0,,,,,
,CANTERO CENTRAL,"JUSTO, JUAN B., AV. - ALVAREZ JONTE AV.",LINIERS,9.0,306.6,20.0,,,,,
,PLAZOLETA,"ALVAREZ JONTE, AV. - JUSTO, JUAN B., AV. - PORCEL DE PERALTA, MANUEL",LINIERS,9.0,1538.6270000000004,0.0,,,,,
,PLAZOLETA,"ALVAREZ JONTE, AV. - JUSTO, JUAN B., AV. - PORCEL DE PERALTA, MANUEL",LINIERS,9.0,80.673,2.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,25.52,0.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,151.38,0.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,551.937,10.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,1253.491,0.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA RIACHUELO,8.0,1631.875,0.0,,,,,
